"GDP","GDPDEF","CREDIT","INFLOWS","EULEV","FFR","VIX"
14145.3,72.944,10.1117332651143,12.346,1.27458864057313,6.52,3.02383370366487
14229.8,73.337,10.1061144399262,43.548,1.25934875917581,6.4,3.29026582095487
14183.1,73.822,10.0800783407345,129.758,1.25202386385302,5.31,3.35480434209244
14271.7,74.266,10.0891399679042,29.672,1.26867129237921,3.97,2.94759189822606
14214.5,74.558,10.1196839745287,-9.10500000000002,1.26907574725953,3.07,3.46354600672669
14253.6,74.792,10.1318778612807,45.8000000000002,1.25256998479601,1.82,3.16968558067743
14372.8,75.027,10.1506195897893,20.1959999999999,1.23606422233248,1.73,2.85647020622048
14460.8,75.289,10.201634299699,15.4269999999999,1.25665154385541,1.75,3.23474917402449
14519.6,75.65,10.1997229123029,56.471,1.2774827052076,1.75,3.68109926679497
14537.6,76.089,10.2443592938651,45.8300000000002,1.26118997381107,1.24,3.3541057741283
14614.1,76.461,10.2613409355138,57.0129999999999,1.28299538989186,1.25,3.3724549127965
14743.6,76.73,10.2995436089768,87.3989999999999,1.28791336028348,1.22,2.97143958098495
14988.8,77.169,10.3306232619297,41.6300000000001,1.26644773460982,1.01,3.12324559385295
15162.8,77.639,10.3901530132328,60.865,1.21723666004224,0.98,2.90744735868642
15248.7,78.193,10.3970570093549,182.246,1.26609957067812,1,2.81780106506133
15366.9,78.824,10.3922412151958,-44.828,1.27844916370084,1.03,2.66305283517147
15512.6,79.324,10.411213336595,31.0049999999997,1.29846874618264,1.61,2.59076704048748
15670.9,79.939,10.493701927752,80.4150000000004,1.32892525246913,2.16,2.58701187272515
15844.7,80.578,10.4830780876104,216.539,1.31002641129165,2.63,2.64048488160644
15922.8,81.158,10.4706154726473,52.7950000000001,1.33983492095471,3.04,2.48823443988067
16047.6,81.898,10.490342977483,112.239,1.33080050735547,3.62,2.4782176616372
16136.7,82.571,10.4952034655733,44.6179999999999,1.32146310022559,4.16,2.49072303510944
16353.8,83.156,10.5367780067596,223.313,1.34276351596517,4.59,2.43273577745909
16396.2,83.882,10.5903074359451,169.443,1.34213203522398,4.99,2.57108434602905
16420.7,84.468,10.6117760763742,141.592,1.3669321705214,5.25,2.4832385926873
16561.9,84.77,10.6661849826341,236.006,1.35139987537888,5.24,2.44755086324423
16611.7,85.576,10.7015999652738,262.065,1.34801658391769,5.26,2.68375750853317
16713.3,86.171,10.7428528524256,277.072,1.34144688759928,5.25,2.7868613815265
16809.6,86.642,10.8085180296894,104.059,1.33757791289052,4.94,2.89037175789616
16915.2,86.993,10.8540664168087,-1.41700000000037,1.25665155760312,4.24,3.11351530921037
16843,87.315,10.9295102209919,256.211,1.23944470473031,2.61,3.24298290021143
16943.3,87.738,10.9435193891413,-179.072999999999,1.2431912368021,2,3.17596832385692
16854.3,88.399,10.9000764951307,-13.9170000000004,1.25701620502906,1.81,3.67351197698281
16485.4,88.613,10.8850983870474,-417.204,1.22269428601161,0.16,3.68887945411394
16298.3,88.543,10.8337593873225,-38.0320000000002,1.21913537351993,0.18,3.78736640082859
16269.1,88.396,10.8816977235241,22.9929999999999,1.23782270432615,0.21,3.27146827498737
16326.3,88.501,10.9029190941951,49.0505000000003,1.2570635823231,0.15,3.24298290021143
16502.8,88.781,10.8952096652501,-122.0725,1.25531297131197,0.12,3.07639017657145
16582.7,89.036,10.8854316328621,115.147,1.23897037876041,0.16,2.86733055874947
16743.2,89.471,10.8684093104059,-55.578,1.25381473118007,0.18,3.54211807271853
16872.3,89.743,10.9439381320515,223.269,1.25025692685758,0.19,3.16547504814109
16960.9,90.264,10.9602908263404,-15.5230000000001,1.23006527991391,0.18,2.87638551592142
16920.6,90.726,10.9947272656944,173.377283,1.24288432925351,0.14,2.87582197688143
17035.1,91.326,11.0217814473418,37.1927170000004,1.27932441907818,0.09,2.80457176809283
17031.3,91.876,11.0137618821663,-91.0280000000002,1.26111982278351,0.08,3.76026945020061
17222.6,91.985,11.0063243510474,-15.0949999999998,1.27228347171181,0.07,3.15273602236366
17367,92.525,11.0269060957296,-9.4512650000006,1.24750746874454,0.13,2.7408400239252
17444.5,92.907,11.0135778835592,-104.614433,1.24923525964805,0.16,2.83790818836042
17469.7,93.417,11.0469408766597,106.880783,1.25297882322393,0.14,2.75556971707019
17489.9,93.885,11.0526281688109,42.746001,1.23879436655152,0.16,2.89148225218019
