Time Series Search Export,Search term,Search filters,,Last update of Credit to the non-financial sector data,Downloaded at,Source,Source URL,Download URL,About Credit to the non-financial sector
,,,,2025-06-16,2025-06-25 14:23 CEST,BIS,"https://data.bis.org/topics/TOTAL_CREDIT/BIS,WS_TC,2.0/Q.CA.P.B.M.USD.A?","https://data.bis.org/topics/TOTAL_CREDIT/BIS,WS_TC,2.0/Q.CA.P.B.M.USD.A?&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code",https://data.bis.org/topics/TOTAL_CREDIT

DATAFLOW_ID,KEY,FREQ,BORROWERS_CTY,TC_BORROWERS,TC_LENDERS,VALUATION,UNIT_TYPE,TC_ADJUST,Unit,Unit multiplier,TIME_PERIOD,OBS_CONF,OBS_PRE_BREAK,OBS_STATUS,OBS_VALUE
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1973-03-31,F,,A,27.228
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1973-06-30,F,,A,29.185
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1973-09-30,F,,A,30.403
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1973-12-31,F,,A,32.828
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1974-03-31,F,,A,34.819
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1974-06-30,F,,A,37.418
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1974-09-30,F,,A,39.194
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1974-12-31,F,,A,40.818
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1975-03-31,F,,A,42.038
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1975-06-30,F,,A,42.798
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1975-09-30,F,,A,44.908
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1975-12-31,F,,A,47.149
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1976-03-31,F,,A,53.178
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1976-06-30,F,,A,56.874
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1976-09-30,F,,A,59.013
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1976-12-31,F,,A,59.363
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1977-03-31,F,,A,59.458
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1977-06-30,F,,A,61.736
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1977-09-30,F,,A,63.788
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1977-12-31,F,,A,64.533
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1978-03-31,F,,A,65.414
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1978-06-30,F,,A,68.768
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1978-09-30,F,,A,68.571
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1978-12-31,F,,A,72.578
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1979-03-31,F,,A,77.953
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1979-06-30,F,,A,81.93
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1979-09-30,F,,A,86.661
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1979-12-31,F,,A,89.586
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1980-03-31,F,,A,91.811
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1980-06-30,F,,A,100.005
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1980-09-30,F,,A,100.605
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1980-12-31,F,,A,104.423
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1981-03-31,F,,A,111.119
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1981-06-30,F,,A,118.263
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1981-09-30,F,,A,128.663
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1981-12-31,F,,A,138.272
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1982-03-31,F,,A,139.384
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1982-06-30,F,,A,134.919
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1982-09-30,F,,A,141.463
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1982-12-31,F,,A,139.727
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1983-03-31,F,,A,138.531
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1983-06-30,F,,A,136.759
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1983-09-30,F,,A,135.621
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1983-12-31,F,,A,134.01
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1984-03-31,F,,A,132.922
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1984-06-30,F,,A,130.869
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1984-09-30,F,,A,132.397
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1984-12-31,F,,A,133.293
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1985-03-31,F,,A,134.168
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1985-06-30,F,,A,135.791
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1985-09-30,F,,A,139.456
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1985-12-31,F,,A,140.051
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1986-03-31,F,,A,143.743
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1986-06-30,F,,A,146.132
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1986-09-30,F,,A,148.503
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1986-12-31,F,,A,150.996
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1987-03-31,F,,A,160.85
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1987-06-30,F,,A,162.997
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1987-09-30,F,,A,169.98
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1987-12-31,F,,A,178.55
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1988-03-31,F,,A,193.167
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1988-06-30,F,,A,204.619
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1988-09-30,F,,A,211.734
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1988-12-31,F,,A,222.79
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1989-03-31,F,,A,229.952
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1989-06-30,F,,A,237.745
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1989-09-30,F,,A,247.42
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1989-12-31,F,,A,258.599
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1990-03-31,F,,A,261.929
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1990-06-30,F,,A,272.307
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1990-09-30,F,,A,279.308
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1990-12-31,F,,A,277.845
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1991-03-31,F,,A,279.388
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1991-06-30,F,,A,286.251
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1991-09-30,F,,A,290.732
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1991-12-31,F,,A,285.541
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1992-03-31,F,,A,277.405
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1992-06-30,F,,A,279.776
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1992-09-30,F,,A,271.369
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1992-12-31,F,,A,266.114
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1993-03-31,F,,A,272.927
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1993-06-30,F,,A,275.062
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1993-09-30,F,,A,278.263
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1993-12-31,F,,A,282.666
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1994-03-31,F,,A,273.265
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1994-06-30,F,,A,282.267
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1994-09-30,F,,A,293.759
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1994-12-31,F,,A,289.435
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1995-03-31,F,,A,294.313
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1995-06-30,F,,A,304.433
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1995-09-30,F,,A,315.409
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1995-12-31,F,,A,322.43
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1996-03-31,F,,A,329.497
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1996-06-30,F,,A,331.181
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1996-09-30,F,,A,336.135
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1996-12-31,F,,A,339.398
