block,date,med_leverage,lev_qoq
Emerging Asia,1995 Q4,1.2159673029975588,-0.03137534053198077
Latin America,1995 Q4,1.2442893785673388,0.003819786751749321
ME/Africa,1995 Q4,1.1352369981660904,-0.004726735957853667
North America,1995 Q4,1.158980678978884,0.007959344010832092
W. Europe,1995 Q4,1.1015506158906925,0.0014819908213281607
Asia Pacific,1996 Q1,1.223334316313518,-0.0031360678656123797
Central and E. Europe,1996 Q1,0.682262713457916,0.021375729730067183
Emerging Asia,1996 Q1,1.2046332861698308,-0.00932098815468796
Latin America,1996 Q1,1.163625384192557,-0.06482735910488713
ME/Africa,1996 Q1,1.141035033919685,0.005107335087705112
North America,1996 Q1,1.1600729612228848,9.424507792168413e-4
W. Europe,1996 Q1,1.1034239027571404,0.0017005908211791265
Asia Pacific,1996 Q2,1.2170007484800156,-0.005177299246037936
Central and E. Europe,1996 Q2,0.7244375623094443,0.061816142110087346
Emerging Asia,1996 Q2,1.2259820074178909,0.017722174451894057
Latin America,1996 Q2,1.1824573605565922,0.016183882390209847
ME/Africa,1996 Q2,1.1297744847989055,-0.009868714619653107
North America,1996 Q2,1.1673593401193307,0.006280966059897697
W. Europe,1996 Q2,1.1253738420952466,0.019892571914800428
Asia Pacific,1996 Q3,1.2327165855418527,0.01291358044065749
Central and E. Europe,1996 Q3,0.7484285855789521,0.033116757768642424
Emerging Asia,1996 Q3,1.252811883950995,0.021884396647559257
Latin America,1996 Q3,1.193441892712296,0.009289579922385771
ME/Africa,1996 Q3,1.1254935342178174,-0.0037892080576152898
North America,1996 Q3,1.172279983709907,0.00421519186206476
W. Europe,1996 Q3,1.1478607467916524,0.019981719723055846
Asia Pacific,1996 Q4,1.1993482276859997,-0.027068961549816084
Central and E. Europe,1996 Q4,0.7291613982757272,-0.02574352139198499
Emerging Asia,1996 Q4,1.3229600000301442,0.05599253724982489
Latin America,1996 Q4,1.1629610588212922,-0.025540274794385698
ME/Africa,1996 Q4,1.1209598997475998,-0.004028130177903044
North America,1996 Q4,1.1598387357358386,-0.010612863946286577
W. Europe,1996 Q4,1.1556524254095026,0.0067879998855511214
Asia Pacific,1997 Q1,1.2170238489099128,0.014737689034665102
Central and E. Europe,1997 Q1,0.7344748885715191,0.0072871250567527746
Emerging Asia,1997 Q1,1.3483403476987583,0.019184516287745534
Latin America,1997 Q1,1.1805542336650778,0.015127913966110906
ME/Africa,1997 Q1,1.118895435762667,-0.0018416929859824682
North America,1997 Q1,1.1688930965782305,0.007806568761171251
W. Europe,1997 Q1,1.1575224091725438,0.001618119533109974
Asia Pacific,1997 Q2,1.2212445346617913,0.0034680386548373576
Central and E. Europe,1997 Q2,0.7316126625258872,-0.0038969692363460817
Emerging Asia,1997 Q2,1.384281604185522,0.026655923000528325
Latin America,1997 Q2,1.187810011309879,0.006146077357475965
ME/Africa,1997 Q2,1.1133188616631144,-0.004983999327650701
