country,date,leverage,lev_growth
NO,2010 Q2,1.9598280634369183,-0.004987205951540563
NZ,2010 Q2,1.6346524358620658,-0.02678857664720269
PL,2010 Q2,1.0597432483216493,0.03342073119224387
PT,2010 Q2,1.9216232199932222,0.04046200130138922
RO,2010 Q2,1.2495666362211024,0.04995080438454136
RU,2010 Q2,1.1384705130353296,-0.022059727011122465
SE,2010 Q2,2.2292692997952583,-0.011543586971721087
SG,2010 Q2,0.7949396596354938,0.01737243098842678
SI,2010 Q2,1.6395728134934189,-0.03577033962705345
SK,2010 Q2,0.9558619106834404,0.007290970139594011
TH,2010 Q2,0.976846534502459,0.025113391901300908
TR,2010 Q2,0.798683453320353,0.051994157680252395
US,2010 Q2,1.0518049813359713,-0.011321968881835343
ZA,2010 Q2,1.2049302053139819,-0.03051196605636708
AR,2010 Q3,0.6475247145954858,0.004955140363170907
AT,2010 Q3,1.2862963438719313,-0.0026299053938023675
AU,2010 Q3,1.5259370644817354,-0.0576777879545578
BE,2010 Q3,0.5853088232274491,-0.017028348558611794
BG,2010 Q3,1.2258512694729093,-0.00905009862012851
BO,2010 Q3,0.7738020155295895,0.018401110212547978
BR,2010 Q3,1.004045282123457,0.034675382747830996
BY,2010 Q3,1.616297290993222,0.010080923170642686
CA,2010 Q3,0.9447914489690101,-0.023088224015440306
CH,2010 Q3,1.1558848563153286,-0.006561496941144496
CL,2010 Q3,1.6795193743432977,0.002508066232635109
CN,2010 Q3,2.4972659564411286,0.08855309105299503
CO,2010 Q3,1.7403867656694159,0.07125738573489482
CR,2010 Q3,1.8361556509156627,0.0820690841211722
CY,2010 Q3,1.015066417045556,0.0015876820401032887
CZ,2010 Q3,0.7711739627936006,0.02190318995068008
DE,2010 Q3,1.2502569268575772,-0.015417053109185064
DK,2010 Q3,3.6724659638446617,0.006077526744267647
EE,2010 Q3,1.736024844720497,0.02328212627389492
ES,2010 Q3,1.760709432815722,-0.008243760646750253
FI,2010 Q3,1.420684745879003,0.017401419689547337
FR,2010 Q3,1.229627745582944,-0.007057493791857938
GB,2010 Q3,1.395230166202369,-0.012596378565163713
GR,2010 Q3,1.1985734625198772,0.012004809282440965
HR,2010 Q3,1.1647005328554785,0.015355149249946631
HU,2010 Q3,1.2191138474807766,-0.019411634272716416
ID,2010 Q3,0.7702011021768006,0.02171229344061809
IE,2010 Q3,1.123150418361394,-0.027196741690331816
IL,2010 Q3,1.1239559721843781,0.062412589568997756
IS,2010 Q3,1.9106677597252741,-0.016660331244610527
IT,2010 Q3,1.285087741862463,0.03127301068239552
JP,2010 Q3,0.4971877228951501,0.004125078914845648
KR,2010 Q3,1.1512166354570126,-0.006938042613859441
LT,2010 Q3,1.5439155365431874,-0.044836178134453286
LU,2010 Q3,0.3741040946393643,0.011293094153178307
LV,2010 Q3,2.1981371718882303,-0.10122726647705482
MT,2010 Q3,1.1021679034585097,-0.0012629046305896452
MX,2010 Q3,0.710676423029576,-0.002985623730887621
MY,2010 Q3,0.8889901700327174,-0.002265851417873055
NL,2010 Q3,1.1236783519754212,0.03759948121061152
