"date","CL","RB","HO","NG","TG","LU","HG","AL","LD","TR","TH","ZC","KE","ZS","ZM","RS","KC","SB","SW","CC","CT","LE","GF","HE","LB","CU","XR","ZK"
2020-07-01,77.1999969482422,NA,NA,9.11999988555908,15.8800001144409,NA,NA,26.2199993133545,38.8286018371582,27.3446979522705,1.42999994754791,NA,13.2799997329712,129.850006103516,253.910003662109,98.2600021362305,35.0999984741211,1.33000004291534,NA,18.5300006866455,NA,8.61999988555908,16.1399993896484,36.2599983215332,NA,NA,NA,NA
2020-08-01,79.2600021362305,NA,NA,10.5900001525879,16.9300003051758,NA,NA,31.0799999237061,41.6100006103516,27.5948543548584,1.45000004768372,NA,13.4849996566772,143.339996337891,325.100006103516,104.870002746582,34.4799995422363,1.11000001430511,NA,20.6599998474121,NA,13.3800001144409,17.1499996185303,34.6100006103516,NA,NA,NA,NA
2020-09-01,77.1500015258789,NA,NA,11.8900003433228,14.8699998855591,NA,NA,29.4200000762939,37.5463981628418,26.6546115875244,1.22000002861023,NA,11.5600004196167,140.690002441406,470.109985351562,102.040000915527,29.5300006866455,1.02999997138977,NA,20.9099998474121,NA,13.0299997329712,16.8799991607666,33.2400016784668,NA,NA,NA,NA
2020-10-01,78.8899993896484,NA,NA,10.3599996566772,14.5799999237061,51.4000015258789,NA,27.2399997711182,37.2900009155273,25.7747497558594,0.870000004768372,NA,12.1199998855591,135.75,460.910003662109,108.98999786377,29.0499992370605,0.889999985694885,NA,20.1399993896484,NA,16.0499992370605,16,33.0400009155273,NA,NA,NA,NA
2020-11-01,85.6399993896484,NA,NA,9.96000003814697,15.8100004196167,65.879997253418,NA,36.5699996948242,43.1500015258789,26.714994430542,1.58000004291534,NA,15.4099998474121,155.75,478.359985351562,117.800003051758,40.2299995422363,1.20000004768372,NA,24.3299999237061,NA,24.9400005340576,18.7199993133545,35.8300018310547,NA,NA,NA,NA
2020-12-01,85.5100021362305,NA,NA,9.67000007629395,16.7000007629395,56.7999992370605,NA,44.4199981689453,41.1455993652344,25.6194801330566,1.58000004291534,NA,15.9899997711182,199.710006713867,337.320007324219,119.75,43.5499992370605,1.29999995231628,NA,24.7900009155273,NA,21.5699996948242,19.0300006866455,35.3899993896484,NA,NA,NA,NA
2021-01-01,78,NA,NA,9.11999988555908,14.5900001525879,63.7599983215332,NA,39.6300010681152,41.9599990844727,34.1420555114746,1.76999998092651,NA,19.1700000762939,199.699996948242,372.070007324219,116.080001831055,50.2700004577637,1.74000000953674,NA,26.3400001525879,NA,27.6100006103516,19.5799999237061,33.060001373291,NA,NA,NA,NA
2021-02-01,75.1999969482422,NA,NA,8.35000038146973,15.2399997711182,60.0800018310547,NA,45.8600006103516,43.0596008300781,26.576976776123,1.66999995708466,NA,23.4799995422363,205.029998779297,373.609985351562,132.199996948242,58.8800010681152,2.75,NA,23.5300006866455,NA,33.0400009155273,19.8799991607666,34.9599990844727,NA,NA,NA,NA
2021-03-01,78.8300018310547,NA,NA,8.76000022888184,15.0100002288818,58.0800018310547,NA,49,40.3800010681152,29.4355754852295,2.50999999046326,NA,25.7999992370605,171.669998168945,321.290008544922,152.289993286133,39.3199996948242,2.45000004768372,NA,27.9099998474121,NA,24.8099994659424,19.7700004577637,44.4300003051758,NA,NA,NA,NA
2021-04-01,80.6999969482422,NA,NA,8.98999977111816,14.6199998855591,47.5999984741211,NA,46.7099990844727,44.189998626709,28.0495357513428,2.78999996185303,NA,23.0100002288818,187.639999389648,319.570007324219,160.309997558594,43.9199981689453,3.58999991416931,NA,30.2000007629395,NA,23.0400009155273,21.1599998474121,43.060001373291,NA,NA,NA,NA
2021-05-01,83.7799987792969,NA,NA,10.2600002288818,15.2399997711182,48.7599983215332,NA,47.060001373291,45.2701988220215,27.800760269165,3.84999990463257,NA,22.3799991607666,194.199996948242,331.529998779297,168.070007324219,39.060001373291,3.69000005722046,NA,35.9300003051758,NA,25.6100006103516,20.6299991607666,43.0499992370605,NA,NA,NA,NA
2021-06-01,81.3499984741211,NA,NA,8.01000022888184,13.7700004577637,45.2000007629395,NA,41.7400016784668,46.6349983215332,30.1285953521729,3.71000003814697,NA,21.7399997711182,216.059997558594,387.029998779297,150.899993896484,33.9300003051758,4.01000022888184,NA,34.7999992370605,NA,41.0499992370605,20.2299995422363,42.2799987792969,NA,NA,NA,NA
2021-07-01,79.5,NA,NA,7.82000017166138,13.0699996948242,30,NA,42.3600006103516,49.4000015258789,30.5550708770752,3.57999992370605,NA,20.3899993896484,235.910003662109,378.100006103516,157.149993896484,29,3.33999991416931,NA,33.25,NA,38.3300018310547,20.5200004577637,43.3400001525879,NA,NA,NA,NA
2021-08-01,77.9499969482422,NA,NA,7.23000001907349,13.2799997329712,34.6800003051758,NA,39.7400016784668,46.8096008300781,28.1206150054932,3.98000001907349,NA,24.1700000762939,278.339996337891,289.5,150.039993286133,32.189998626709,4.03999996185303,NA,33.5099983215332,NA,33.8499984741211,20.9799995422363,43.5999984741211,NA,NA,NA,NA
2021-09-01,75.5800018310547,NA,NA,6.88000011444092,12.1800003051758,27.9200000762939,NA,39.3400001525879,43.521598815918,27.0366611480713,3.73000001907349,NA,25.7700004577637,262.220001220703,261.5,142.419998168945,28.3199996948242,5.17000007629395,NA,29.0599994659424,NA,23.5400009155273,19.75,40.8300018310547,NA,NA,NA,NA
