"date","HYG","JNK","ANGL","SJNK","SHYG","USHY","HYEM.MI","CEMB","XHY.TO","HYD","PGHY","VWEHX","VWEAX","HYT","MHCAX"
2016-10-31,55.2631988525391,67.0195083618164,18.3587493896484,16.6200523376465,28.9003372192383,NA,NA,34.9948387145996,12.3965225219727,40.1349601745605,14.6855392456055,3.74145889282227,3.70974183082581,4.93569231033325,3.58541369438171
2016-11-30,55.2735366821289,67.1049575805664,18.3940486907959,16.7027320861816,29.0028953552246,NA,NA,34.458797454834,12.3651151657104,36.5974159240723,14.7423028945923,3.7076997756958,3.67626929283142,4.95063638687134,3.57298731803894
2016-12-31,56.2899284362793,68.3919067382812,18.6975383758545,16.9898204803467,29.4938621520996,NA,NA,34.6358184814453,12.585976600647,38.1103858947754,14.9434480667114,3.75911259651184,3.72788858413696,5.20853042602539,3.6232545375824
2017-01-31,56.8037567138672,69.254997253418,19.0548515319824,17.1616802215576,29.7243709564209,NA,NA,35.1319122314453,12.6881647109985,38.5983047485352,15.1101312637329,3.79659533500671,3.76570844650269,5.31433534622192,3.66743898391724
2017-02-28,57.673828125,70.1693725585938,19.2838325500488,17.3553466796875,30.0498962402344,NA,NA,35.7930793762207,12.8431215286255,39.1745338439941,15.2160701751709,3.85108351707458,3.82039713859558,5.40130138397217,3.70550990104675
2017-03-31,57.5911674499512,69.9534301757812,19.3578300476074,17.3286952972412,30.0555667877197,NA,NA,35.5130157470703,12.8181619644165,39.5418815612793,15.2523813247681,3.84270787239075,3.81273984909058,5.31942892074585,3.69275641441345
2017-04-30,58.0609474182129,70.6803741455078,19.5275287628174,17.4619655609131,30.2679309844971,NA,NA,36.0878944396973,12.9662380218506,39.8080520629883,15.2979736328125,3.89247894287109,3.8627781867981,5.52486228942871,3.73122310638428
2017-05-31,58.6598167419434,71.4833831787109,19.6358051300049,17.6071166992188,30.4990673065186,NA,NA,36.1658363342285,13.0625782012939,40.5351028442383,15.3016815185547,3.92997646331787,3.89998817443848,5.50041198730469,3.75699806213379
2017-06-30,58.7375755310059,71.5237426757812,19.6543750762939,17.5819797515869,30.5341720581055,NA,NA,36.2006950378418,13.0699815750122,40.4239273071289,15.2576065063477,3.94060182571411,3.91119241714478,5.44087219238281,3.75048804283142
2017-07-31,59.3361930847168,72.234489440918,19.9414367675781,17.7076473236084,30.7527236938477,NA,NA,36.5382308959961,13.182092666626,40.5971946716309,15.3525142669678,3.98505592346191,3.95531392097473,5.66540431976318,3.78955459594727
2017-08-31,59.3750534057617,72.2791366577148,20.0798988342285,17.7190761566162,30.769474029541,NA,NA,36.944938659668,13.1379318237305,41.3622817993164,15.3625822067261,3.98985290527344,3.96007680892944,5.59600353240967,3.79613494873047
2017-09-30,59.7317047119141,72.715576171875,20.3566055297852,17.826789855957,30.9363555908203,NA,NA,37.0361557006836,13.2424945831299,41.374195098877,15.4591722488403,4.0207028388977,3.99069690704346,5.717369556427,3.82902956008911
2017-10-31,59.7824020385742,72.8662109375,20.3842506408691,17.8754405975342,30.996114730835,26.7736949920654,NA,37.0887832641602,13.2356252670288,41.388786315918,15.4667167663574,4.0241265296936,3.99476933479309,5.6913890838623,3.83564305305481
2017-11-30,59.5625534057617,72.6106872558594,20.368673324585,17.8419952392578,30.8486194610596,26.6723194122314,NA,37.0605773925781,13.2073583602905,41.539234161377,15.404149055481,4.01340818405151,3.9848039150238,5.61519479751587,3.83564305305481
2017-12-31,59.708927154541,72.8271636962891,20.5126857757568,17.8855476379395,31.0011959075928,26.7957897186279,NA,37.0974884033203,13.2586917877197,41.8400192260742,15.386134147644,4.02502918243408,3.99634027481079,5.67674207687378,3.86247563362122
2018-01-31,59.7363052368164,72.7874984741211,20.6222610473633,18.0023593902588,31.093297958374,26.9366283416748,NA,37.2575950622559,13.1574258804321,41.7863578796387,15.471302986145,4.03324508666992,4.00517559051514,5.64041614532471,3.87996029853821
2018-02-28,59.2181663513184,72.1301345825195,20.2577018737793,17.9326095581055,30.9683971405029,26.7298450469971,NA,36.7545204162598,13.0436553955078,41.5602531433105,15.4644250869751,3.98827052116394,3.96120047569275,5.51588106155396,3.85703659057617
2018-03-31,59.0809173583984,71.7359619140625,20.070520401001,17.9234447479248,31.04736328125,26.5888271331787,NA,36.657096862793,12.939847946167,41.8533248901367,15.425404548645,3.96574282646179,3.93951368331909,5.5681529045105,3.84075450897217
2018-04-30,59.3642120361328,72.0775527954102,20.1905536651611,18.0233516693115,31.1973266601562,26.5778999328613,NA,36.1085777282715,13.0538139343262,42.1339492797852,15.547812461853,3.98369383811951,3.95803332328796,5.61557579040527,3.85163998603821
2018-05-31,59.394100189209,71.9019241333008,20.1153011322021,18.050422668457,31.2294445037842,26.6797676086426,84.966552734375,36.0377464294434,13.0319204330444,42.8211250305176,15.520697593689,3.96787691116333,3.94301128387451,5.59423065185547,3.84892010688782
