"date","MAR15","MANR24"
"1990-10",-1.97414968158102,-1.52401400601629
"1990-11",-1.67615871724805,-1.36358943179618
"1990-12",-1.55737335378112,-1.25067707135374
"1991-1",-1.31101335041342,-0.991006409777897
"1991-2",-0.892497565110001,-0.636246294803155
"1991-3",-0.880367607852095,-0.579379285292722
"1991-4",-0.867089837327665,-0.532552609038622
"1991-5",-0.722379508959997,-0.405102018951223
"1991-6",-1.00478996382542,-0.592972117198195
"1991-7",-0.798273452948996,-0.464919008518796
"1991-8",-0.748256190536583,-0.487991244406137
"1991-9",-0.807243414364112,-0.56363093179566
"1991-10",-0.772452996848977,-0.541298158006104
"1991-11",-1.0347491135669,-0.87733467726371
"1991-12",-0.660243452057784,-0.653430409572985
"1992-1",-0.582180119727448,-0.507811463885188
"1992-2",-0.579836305837281,-0.490052261301954
"1992-3",-0.759321764450002,-0.644798720461252
"1992-4",-0.653188049887176,-0.554722971808785
"1992-5",-0.5547954649288,-0.506722713707821
"1992-6",-0.737004443929138,-0.69836973862001
"1992-7",-0.715519531860607,-0.774270480142629
"1992-8",-0.890244467652646,-0.977295463411401
"1992-9",-0.924323845490068,-1.07727854268351
"1992-10",-0.983518226290727,-1.0935174852218
"1992-11",-0.885405594116699,-0.971239932097994
"1992-12",-0.791014978787374,-0.886812831640979
"1993-1",-0.76296254946786,-0.816108892169288
"1993-2",-0.749300197705614,-0.82881350130493
"1993-3",-0.543456855772993,-0.62329945446066
"1993-4",-0.569674409212667,-0.543640640923714
"1993-5",-0.439484894244781,-0.405038766303626
"1993-6",-0.520142263201823,-0.457778387687731
"1993-7",-0.521969318728539,-0.398520060894627
"1993-8",-0.281155549976356,-0.212270723287318
"1993-9",-0.379148401084696,-0.24552453567225
"1993-10",-0.273338714838412,-0.127450511233444
"1993-11",-0.424010461788675,-0.233240052449419
"1993-12",-0.152322647369769,0.0205999102704119
"1994-1",0.0655695284258399,0.28251779970281
"1994-2",-0.0753777591488737,0.20519976251126
"1994-3",-0.363760091311408,-0.039654063193612
"1994-4",-0.313953322042486,-0.0186619851490059
"1994-5",-0.383255654623897,0.000244177236553028
"1994-6",-0.520150620540132,-0.110670019906218
"1994-7",-0.361669748287846,-0.0131584791852221
"1994-8",-0.171428183398318,0.117056979984681
"1994-9",-0.317958173265584,0.0276877712211611
"1994-10",-0.217132708072172,0.121513731061555
"1994-11",-0.497313438847426,-0.151952912418356
"1994-12",-0.501536102704438,-0.141486545587161
"1995-1",-0.604147675481907,-0.300857000106554
"1995-2",-0.438336220288265,-0.16260349437881
"1995-3",-0.265954067428374,-0.0239186227050287
"1995-4",-0.144358065026426,0.0755781124151416
"1995-5",-0.0374174756120749,0.140372576891233
"1995-6",0.0231890094889553,0.246270999700592
"1995-7",0.229499044016174,0.455983491422653
"1995-8",0.139005577983774,0.415051119534794
"1995-9",0.207282928937621,0.446418214350837
"1995-10",0.0636270567213706,0.301498334373104
"1995-11",0.174704510397359,0.411071899727228
"1995-12",0.23159610103728,0.394930247199394
"1996-1",0.311402628857176,0.406636117108619
"1996-2",0.366469019172776,0.48629724819453
"1996-3",0.422579514667034,0.548860899594475
"1996-4",0.534572755233672,0.743983734011621
"1996-5",0.574873067524947,0.76218211044672
"1996-6",0.502834052358197,0.639996154440062
"1996-7",0.160120512376894,0.386068615739867
"1996-8",0.316382197537978,0.546634002554208
"1996-9",0.487953745583164,0.701725838923081
"1996-10",0.516157927810882,0.754142434386631
"1996-11",0.840446762902556,1.05355624392575
"1996-12",0.777470423064899,1.03989003861776
"1997-1",0.856617792818186,1.17260211803446
"1997-2",0.827736270898452,1.17828396953689
"1997-3",0.729222728748402,1.06242770462142
"1997-4",0.822180872244787,1.19246843964915
"1997-5",1.14347389811889,1.49114544259633
"1997-6",1.32197195754176,1.61887398439154
"1997-7",1.61380164238527,1.90657621055416
"1997-8",1.38617760010753,1.78103949177674
"1997-9",1.63968569914574,1.97855548660531
"1997-10",1.25956616338651,1.57793945059375
"1997-11",1.2711143782895,1.50427430160956
"1997-12",1.27436539687527,1.42449828062943
"1998-1",1.20667198184036,1.38620416062369
"1998-2",1.53900509004176,1.73036374120079
"1998-3",1.74627197860384,1.84435385611578
"1998-4",1.76209690042271,1.91341463221841
"1998-5",1.54352807701157,1.64141167667752
"1998-6",1.38797267705155,1.44995718983103
"1998-7",1.08435719595896,1.22232514912504
"1998-8",0.0382134191161153,0.136734668585653
"1998-9",0.288715023097156,0.23948921803183
"1998-10",0.72853583006231,0.621929307248989
"1998-11",0.838709614482667,0.854961130544655
"1998-12",0.888266379750724,0.918296278680786
"1999-1",0.763763554427875,0.993795780994297
"1999-2",0.585977452846036,0.894041241443188
"1999-3",0.792064577020941,1.09873095554279
"1999-4",1.27996497371387,1.55383170404481
"1999-5",1.10747823999903,1.36639841161998
"1999-6",1.28446212751063,1.61836545673418
"1999-7",1.2140656334646,1.52483136196616
"1999-8",1.13436721395113,1.46457500754614
"1999-9",0.879744252068208,1.3233130365465
"1999-10",0.818181725767175,1.32426921614368
"1999-11",0.732460000589791,1.44740923727982
"1999-12",0.929697399719897,1.73254905449444
"2000-1",0.457375413428612,1.41756715225958
"2000-2",0.0706099065418586,1.29620430902483
"2000-3",0.535136700075995,1.61235468191806
"2000-4",0.505820122070936,1.49713103398839
"2000-5",0.493275944447791,1.33144703093949
"2000-6",0.402808745375949,1.33499372763152
"2000-7",0.299461532644984,1.29398126074333
"2000-8",0.445731678940697,1.49892951110454
"2000-9",0.229590457594418,1.18794789065913
"2000-10",0.238988847489938,1.13078671260401
"2000-11",0.133287828232795,0.861860858800904
"2000-12",0.501964924505215,1.11000550745949
"2001-1",0.505383746500966,1.34169725705101
"2001-2",0.349873638624359,1.03029049878624
